protein	count
O14727	2
ALDOA_RABIT	8
P28070	3
P20042	4
Q9Y508	6
Q9NTJ3	13
Q16851	3
Q9H583	1
O95336	6
Q9BRJ7	10
O14745	6
P30419	5
Q8IVD9	1
O60524	2
Q8N6M0	1
Q0VDF9	1
Q7L2J0	1
Q15004	1
Q6NYC1	4
P49770	2
O14531	3
P61962	2
P78371	14
Q16836	1
P11388	11
Q9NVM6	2
Q9Y2X7	2
Q53EZ4	1
Q04637	8
P30101	3
Q9Y2D4	1
O75400	6
Q6IBS0	4
Q9H7Z6	2
Q16881	7
O94776	18
P58107	11
Q9NXH9	2
Q9H8Y8	1
Q00610	23
P52788	3
Q13561	5
P07478	1
Q9BTE7	3
Q8NHV4	1
P63000	5
Q9HAV4	4
Q8WUB8	3
Q9Y6W3	1
P23528	23
P51965	1
Q8NB37	3
P46939	2
P52732	1
Q02790	4
O15145	3
Q9NZL4	2
Q969G3	4
Q8IXH7	1
Q9UKN8	5
O14776	9
P23258	2
Q13868	3
Q5T6V5	3
P09211	1
Q9NP77	3
Q9UJW0	1
P30041	7
P62805	20
Q9NQG5	9
A1X283	1
Q96GM5	4
Q9NP61	3
Q9UKF6	1
Q9BWU0	3
Q99661	5
P41225	6
Q96PZ0	2
P27816	17
Q15418	1
P18615	4
Q00688	3
Q00796	2
Q8WZA0	2
P48507	4
Q13509	1
P30566	13
P00491	4
Q16831	7
P59998	7
Q15233	14
Q9UK41	1
P12956	13
Q1KMD3	2
P22626	50
P51911	1
Q7Z5L9	26
Q12792	5
O75607	3
Q07864	2
Q7Z6K5	1
Q96FS4	3
Q15435	2
P23919	17
O14929	2
P18858	2
Q9UID3	1
P11413	7
P09382	2
O75935	1
P11216	21
Q7Z4V5	26
Q9NSK0	1
Q96RF0	3
Q96Q11	2
Q92785	3
Q8WX93	5
Q8TEA1	1
Q9NQW7	3
P57076	2
Q9Y295	4
Q9UMX5	5
P25205	6
Q9H223	7
Q9H0H5	1
Q15853	1
P27797	3
Q9HC38	6
P42166	14
Q01081	11
Q9UBL3	2
TRY1_BOVIN	88
Q92979	3
P25440	16
P46781	5
Q9UBW8	1
Q14914	2
Q96G03	4
Q14181	1
Q9UIG0	1
O00233	3
Q15651	5
Q9UHV9	4
Q9NRY2	4
Q9NW64	2
P62253	3
Q99584	4
Q16531	8
NQO2_HUMAN	1
Q8WVM7	1
Q9H0Z9	1
Q8TDN6	1
Q15059	20
Q12955	2
Q13409	6
Q9P2K5	1
P46777	7
Q9H6F5	1
O75347	9
P10768	5
Q15554	5
Q9BWD1	15
Q6UWP8	1
Q92797	5
Q9H6E4	1
P36969	9
O00151	11
P12004	6
P12931	1
Q6DD87	3
Q14839	8
P55039	2
P41252	8
P28838	5
P29350	2
Q96S44	2
P43246	12
P21359	4
P63272	2
Q9UNF0	5
P06702	1
P28482	3
Q13347	15
Q13492	4
Q9UK45	2
P21127	7
Q9NV56	5
Q9NR12	20
P61024	10
Q9NVH2	2
P13667	2
P49711	1
P23921	16
P14550	4
ALBU_BOVIN	3
O43633	2
P98179	10
Q6P1N0	6
Q08211	11
P61960	1
Q96F86	2
P38919	12
Q9NTX5	2
P29966	11
P50552	7
P31949	6
P05204	4
Q8WUM4	4
P17931	11
Q15024	1
Q86U90	1
P53990	6
Q06124	11
Q7Z5K2	2
Q7Z2Z2	1
P82970	1
O94788	1
Q9Y376	11
P54819	5
O60870	1
Q9Y5Y2	1
Q01167	2
Q9H0D6	10
P33240	11
O75382	3
P35249	4
Q96I25	2
P32121	1
Q13526	10
Q96DE5	2
Q96AE4	9
Q9BUF5	1
Q9UBB4	2
Q86U42	3
Q8WVC0	5
Q9Y2W1	11
P14625	5
P51531	4
Q15185	8
Q14185	2
Q96QR8	1
Q15907	5
Q8IYS1	5
P20248	2
Q9NT62	2
P15531	25
Q13131	3
Q92466	4
P11940	24
Q9UPY8	2
Q6P1J9	10
P48444	14
Q9BRA2	5
P61457	5
P52701	13
Q53EL6	1
Q02878	1
Q8N543	2
P62942	5
Q9HBI1	1
Q7Z6Z7	1
Q99497	6
P08238	31
O75533	8
Q8NBS9	4
Q6ZVK8	1
Q9UHB9	2
O75874	2
Q9Y5P6	2
P04083	19
Q9UBU8	5
P60983	2
P13797	11
Q7Z4W1	2
Q9NYR9	5
P43034	4
Q8TBX8	1
Q15257	2
O15397	1
O43447	15
Q96NB3	1
P28074	3
Q8N6N6	1
Q9Y223	1
P54578	4
P62736	9
Q14195	4
P0DME0	2
P17858	1
Q86UK7	3
P50583	1
Q05639	2
P62491	3
Q14241	2
O43707	17
P42766	1
P51149	1
Q9BTC8	3
O43684	34
Q96A49	2
Q13362	2
P23526	13
Q9BVC5	3
Q14558	1
Q9UGI8	7
Q8WVM8	1
Q9Y2K7	3
Q15056	11
P0DMM9	1
Q14320	6
Q96P16	2
P07355	29
Q9BPX5	4
Q96K17	3
P30085	4
P07741	7
Q5VIR6	1
Q9NZ32	1
Q14CX7	5
Q9C005	24
P40938	1
P22090	1
Q9P0U4	4
Q6NXE6	1
Q99829	20
Q01130	19
O43598	3
P11137	4
Q70Z53	2
P51946	2
Q16543	6
Q9BUL5	1
O95881	2
O14979	27
P50502	7
P36507	3
Q05682	16
Q9NVR2	2
Q9Y5U2	1
P49915	14
O00231	5
Q92796	1
Q9NV70	4
Q09161	1
Q9UKY7	3
Q5T0N5	1
P23381	2
P07951	3
P19784	7
P35606	6
Q12824	4
Q9BRX5	1
O75368	1
Q9Y2L1	3
Q9BVG4	1
P49588	7
O60361	8
Q92576	3
P51570	4
