protein	count
Q96Q11	1
Q9Y3C0	1
P58107	5
P00966	3
Q96J02	1
Q13322	1
P62820	3
P36873	12
P28072	4
Q9BRJ7	4
Q86VP6	15
P15927	2
P42677	1
Q13185	6
O75164	1
Q7L1Q6	8
P63010	1
P61106	3
Q8IYB5	7
P53990	1
Q9Y3I0	4
O15397	2
Q9UJX6	5
P00374	1
Q9UBB5	5
A8MPP1	2
P06737	17
P50991	8
Q15651	3
Q9BTE3	3
Q96HW7	2
O75937	1
Q9Y4B6	1
Q5VYK3	3
P23528	10
P20585	3
Q7Z4Q2	1
Q9BY42	3
Q75N03	1
P61077	1
O00487	2
Q8WXI9	6
Q5H9R7	3
P84085	1
Q9H7Z6	1
O95400	3
Q9UI26	2
P55036	3
O95602	1
P49411	1
P13645	2
P18085	1
Q99829	9
O75534	10
Q8NFW8	4
O43747	2
Q06210	1
Q9Y613	2
P20810	5
Q9H074	2
P50395	21
P51580	1
Q9UNS2	5
O43865	1
Q9GZS3	3
Q9UJX2	4
P31948	21
Q9Y224	3
Q9H910	16
Q9Y4C1	1
P46782	4
P56282	2
Q96TA1	5
Q6UWE0	1
Q9H3U1	1
Q8WU90	3
K1C10_HUMAN	17
P51665	6
Q9H4A4	11
O00299	2
Q04917	4
P60709	46
O75446	4
P14866	5
Q01105	6
O43396	4
Q9UNM6	7
P49321	8
P07195	20
P49674	1
P48634	1
P09874	7
P25815	2
Q9BPX5	1
Q9Y3F4	9
P61026	1
Q86Y56	3
Q8IWS0	2
Q9Y6D9	1
P40818	2
Q8WXE1	1
Q92888	1
P19793	1
Q13535	3
O14965	1
Q9NYB0	3
Q96JG6	1
P22626	31
Q9H0H0	1
P49591	3
P29350	1
P62330	3
P34896	2
P20618	4
P26640	9
P17858	1
P32121	1
Q9NTK5	11
P35237	2
Q07866	1
P26583	2
Q9Y4X5	7
O96019	6
O75794	2
Q9BUI4	2
Q53GS9	3
Q8TD16	1
Q9ULW0	3
P68371	5
Q9UGJ1	1
Q13769	2
O14980	3
Q4LE39	2
Q9BUL8	1
O14981	2
K2M2_SHEEP	1
O94804	1
Q9BVC5	2
Q96G01	1
P62316	10
Q7L5N1	4
Q2TAY7	2
P48147	4
P13667	2
Q9H9C1	1
