protein	count
Q6NSW5; Q8TCE6	1
Q16513	11
Q9Y5L0	7
Q07866	4
O75369	226
Q7KZF4	56
P41236; Q6NXS1	10
Q9UBW8	17
Q9NR56	2
Q5T749	1
Q9Y530	3
Q15041	2
O75150; Q5VTR2	7
Q8IVM0	3
P62826	309
Q96EY4	3
O43670	21
Q15257	5
Q9H0D6	2
P49407	1
A8MZA4	1
Q8IWS0	6
Q9UPT5	1
O00299; Q96NY7; Q9NZA1; Q9Y696	2
Q15345	7
P18206	16
Q53T59	1
O43423; O95626; P39687; Q92688	6
P51608	1
Q5RKV6	10
P61956	2
Q12906	31
Q9BXR0	2
P11388; Q02880	30
P68366	8
Q12965	13
NM_004193_4	2
Q96G25	2
Q9NTM9	4
O75448	2
P42166; P42167	12
Q8NEZ3	1
Q9NYP3	3
P48163	5
Q6NW29	3
Q9UBP0	1
P62861	10
P42229; P51692	1
Q9H0H0	2
K2C1_HUMAN; P02538; P04259; P04264; P05787; P13647; P48668; Q5XKE5	1
O14757	3
Q9NQW7	9
Q96DM3	2
O75694	24
Q13322	2
P60709; P63261	96
P40763	15
O95373	89
Q9C0E2	14
XM_001722067_2; XM_001722110_2; XM_001722520_2	1
O95104; Q9UPN6	5
Q6PKG0	4
O96013	6
Q5T1M5	32
Q5VWJ9	1
Q9BYG3	4
Q15436; Q15437	3
Q9NQP4	1
P31150; P50395	52
O75914; Q13177	6
P23921	59
Q4J6C6	3
P23193; Q15560	3
P68431; P84243; Q16695; Q6NXT2; Q71DI3	5
NM_199043_1; Q9H7Z3	1
O00442	23
Q96PU4	4
Q96DE5	5
P62829	7
O00712	2
Q86SE5; Q9UKM9	3
A6NNZ2; P04350; P07437; P68371; Q13885; Q3ZCM7; Q9BUF5; Q9BVA1	7
Q9UKY7	6
O75251	2
Q9UK59	9
P52907	9
Q9H0B6	1
P61764	12
O75822	22
P00568; Q9Y6K8	4
Q00536	1
Q9Y3B4	3
NM_000867_3	1
Q9BW61	1
Q9BTC0	57
Q92945; Q96AE4	5
P46777	22
P04818	20
Q01664	24
Q5T200	3
Q96II8	1
Q9H009	3
NM_004292_1	2
P35658	6
O95155	11
Q14204	266
P33240; Q9H0L4	6
O15020	4
Q9Y5U2	23
Q9UJX2	20
Q14669	32
P50502; Q8IZP2	12
Q14118	10
O15042	3
Q15726	1
P22626	308
Q14CN4; Q3SY84; Q7RTS7; Q86Y46	5
Q16650	1
O00148; Q13838	54
Q9BRG1	4
Q6L8Q7	3
Q96I24	8
Q9UHD9; Q9UMX0	2
P26447	4
Q9ULA0	1
Q9H9T3	5
Q96ER3	1
Q9BTL3	1
Q9H1B7	12
Q9H1E3	16
P18669	66
P55039	3
Q06265	14
Q8IVW6	1
NM_012288_7	1
P30044	16
O14514	1
Q9H446	1
Q6PXP3	7
Q9ULM3	1
Q9BUZ4	1
P62241	14
O95239; Q2VIQ3; Q6ZMV9; Q96AC6; Q96L93; Q9Y496	1
Q9UBB5	17
Q13573	10
NM_014394_2	1
Q13158	3
Q8IZ83	2
Q8N5I2	2
Q16719	44
P54136	15
Q9UNI6	26
Q9UBQ7	1
Q9UBP5; Q9Y5J3	1
P18621	5
Q9NQ75	1
O43768	7
Q7Z4V5	44
P49903	5
P13797; Q14651	5
O00160; Q12965	1
P53985	3
Q9NRF9	9
P04183	10
Q8WV92	1
Q92547	11
Q15059	22
Q9Y4C1	4
Q86X53	1
O00192	1
Q07960	10
O60841	194
